Name,Ratings,genres,overview,Year,Cast
Kyunki Saas Bhi Kabhi Bahu Thi,1.6,"Comedy, Drama, Family",A mother-in-law's struggle to put up with her three bahu's. The three bahu's have grown up sons. The bahu's sons start to get involved with having girlfriends and the bahu's try and break their relationships up.,2000–2008,"Smriti Malhotra-Irani ,Ronit Roy ,Amar Upadhyay ,Sudha Shivpuri"
Kahaani Ghar Ghar Kii,2.1,Drama,"The show explored the worlds of its protagonists Parvati Aggarwal and Om Aggarwal, who live in a joint family where by Parvati is an ideal daughter-in-law of Aggarwal family and Om the ideal son.",2000–2008,"Sakshi Tanwar ,Kiran Karmarkar ,Mita Vashisht ,Ali Asgar"
Kesar,4.1,Family,"A story about a girl, Kesar, who fights for her love, life and family values.",2002–2007,"Nandini Singh ,Firoz Ali ,Hiten Tejwani ,Yash Tonk"
Kaahin Kissii Roz,6.0,Thriller,Shaina is beautiful and talented. Kunal is suave and successful. Shaina and Kunal have a whirlwind romance and get married. Theirs is a match made in heaven. Or is it? Does Shaina know about Kunal's past? And how did his first wife die?,2001–2004,"Yash Tonk ,Sudha Chandran ,Mouli Ganguly ,Shweta Salve"
K. Street Pali Hill,7.4,Thriller,"A story about three friends relation, emotions and their Secrets.",2004–2006,"Ashwini Kalsekar ,Vikram Kapadia ,Jaswir Kaur ,Sudha Chandran"
Mahabharat,8.9,"Drama, War","The mother of all wars, the epitome of all rivalries, the cauldron of emotions, insecurities, jealousies, and power play - Mahabharat.",2013–2014,"Saurabh Raj Jain ,Shaheer Sheikh ,Pooja Sharma ,Aham Sharma"
Karma,8.1,"Action, Adventure, Drama","Karma is a true super hero who originates from Hindu mythology, created to withstand the onslaught of the demonic forces of Markesh.",2004– ,"Riva Bubber ,Siddharth Choudhary ,Nasir Abdullah ,Sikandar Kharbanda"
Hatim,8.6,"Action, Adventure, Fantasy","Hatim is on an adventurous journey with his friend Hobo, to find answers of the 7 question so that a boy become normal who was turned down into stone by Dajjal (a servant of Satan )",2003–2004,"Rahil Azam ,Pooja Ghai Rawal ,Nirmal Pandey ,Kiku Sharda"
Jeet,6.9,"Drama, Romance","The life of three individuals (Vikram, Janki, and Nandini) and their love, of trust and of sacrifice. It is the story of how losing yourself in love is the best victory that you can have.",2003–2004,"Aparna Tilak ,Ankur Nayyar ,Neeru Bajwa ,Pawan Malhotra"
Saans,7.2,"Comedy, Drama, Family","Priya and Gautam are a happily married couple with two kids, Akul and Mithi. Everything goes wrong when Priya and Gautam become friends with Manisha. Manisha has fallen in love with Gautam....                See full summary »",1999– ,"Neena Gupta ,Kanwaljeet Singh ,Shagufta Ali ,Kavita Kapoor"
Shagun,4.6,Drama,"The story of two cousins, Aradhana and Aarti, brought up together and so close to each other that one hardly needs words to convey her thoughts to the other. Aarti is an optimist - she ...                See full summary »",2001–2004,"Kabir Sadanand ,Surbhi Tiwari ,Ekta Jain ,Pooja Ghai Rawal"
Kundali,3.3,Drama,"The story centers on two sisters, Aarti and Vidhi, Because of their parents' insistence on matching horoscopes, Aarti, the elder sister, is married to the younger brother; while the younger sister Vidhi gets married to the elder brother.",2000–2001,"Prachi Shah ,Nivedita Bhattacharya ,Manorama ,Yash Tonk"
Son Pari,6.8,"Drama, Family, Fantasy",A motherless child finds hope and care in a fairy.,2000–2001,"Mrinal Kulkarni ,Tanvi Hegde ,Kaivalya Chheda ,Ashok Lokhande"
Yeh Hai Mohabbatein,4.4,Drama,"Ye Hai Mohabbatein, based on a novel Custody by Manju Kapoor, showcases divorce, infertility, remarriage, mature love and deals with societal issues. It follows the story of Raman and ...                See full summary »",2013–2019,"Divyanka Tripathi Dahiya ,Karan Patel ,Ruhanika Dhawan ,Anita Hassanandani Reddy"
Kuch Toh Hai Tere Mere Darmiyaan,4.6,Drama,"Koyal is an ordinary girl from Jamshedpur who believes that there are two types of people: people who live for someone, and people who someone else lives for. Madhavan is Koyal's best ...                See full summary »",2015–2016,"Asha Negi ,Shritama Mukherjee ,Aly Goni ,Vibhav Roy"
Pardes Mein Hai Mera Dil,4.5,Romance,"Pardes Mein Hai Mera Dil tells the story of Raghav and Naina, two individuals with a golden heart, who are fated to meet and fall in love in a foreign land, but destined to face challenges before their union.",2016–2017,"Arjun Bijlani ,Drashti Dhami ,Surekha Sikri ,Aayush Agrawal"
Koi Laut Ke Aaya Hai,8.1,"Mystery, Romance, Thriller",Newlyweds Gitanjali and Abhimanyu's happiness is short-lived. Abhimanyu's death takes Gitanjali on a mysterious journey.,2017,"Surbhi Jyoti ,Shoaib Ibrahim ,Shaleen Malhotra ,Sharad Kelkar"
Saath Nibhana Saathiya,2.0,Family,The lives of two female cousins after their respective marriages within the household of the Modi family.,2010–2017,"Vandana Vithlani ,Rupal Patel ,Devoleena Bhattacharjee ,Mazel Vyas"
